Month,AsOfDate,MonthEndDate,ProgramYear,District,Division,Area,ClubNumber,ClubName,ClubStatus,BaseMembers,ActiveMembers,GoalsMet,CCs,CCsAdd,ACs,ACsAdd,Ldr,LdrsAdd,Level1s,Level2s,Level2sAdd,Level3s,Level45DTMs,Level45DTMsAdd,NewMembers,AddNewMembers,OfficersTrainedRd1,OfficersTrainedRd2,COTMet,MembersDuesOnTimeOct,MembersDuesOnTimeApr,OfficerListOnTime,Goal10Met,DistinguishedStatus,MembersGrowth,AwardsPerMember,DCPEligibility,MonthlyGrowth,30SeptMembers,31MarMembers,Region,NovADVisit,MayADVisit,TotalNewMembers,LateRenewals,OctRenewals,AprRenewals,TotalCharter,TotalToDate,CharterSuspendDate
7,2014-08-07,2014-07-31,2014,91,B,52,4141,Grosvenor Square Club,Active,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,false,false,false,true,false,,2,0,true,2,44,0,11,false,false,2,1,0,0,1,3,
7,2014-08-07,2014-07-31,2014,91,J,07,4166,Bardwell Speakers Club,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,true,false,,0,0,false,0,15,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,04,4410,Leighton Buzzard Better Speakers Club,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,false,true,false,,0,0,false,0,16,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,47,4824,London Business School Public Speaking Club,Active,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,45,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,21,4827,Chiltern Speakers Club,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,27,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,22,5161,"Thamesdown Speakers Club ",Active,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,false,false,false,true,false,,1,0,true,1,33,0,11,false,false,1,1,0,0,1,2,
7,2014-08-07,2014-07-31,2014,91,B,06,5235,London Olympian Speakers Toastmasters Club,Active,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,true,false,,0,0,true,0,41,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,34,5257,Tube Talk Toastmasters,Active,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-3,0,true,0,26,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,53,5391,Mole Valley Speakers Club,Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,false,true,false,,0,0,true,0,31,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,55,5439,Brighton & Hove Speakers Toastmasters Club,Active,43,44,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,false,false,false,true,false,,1,0.05,true,1,44,0,11,false,false,1,0,0,0,0,1,
7,2014-08-07,2014-07-31,2014,91,H,21,5461,Maidenhead Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,48,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,07,5503,Bicester Achievers Toastmasters Club,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,false,false,false,true,false,,0,0,true,0,23,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,32,5774,Solent Speakers Club,Active,20,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.05,true,0,20,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,58,5964,Broadgate Speakers in the City,Active,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,false,true,false,,-4,0,true,1,30,0,11,false,false,1,1,2,0,3,4,
7,2014-08-07,2014-07-31,2014,91,J,07,6874,Abingdon Speakers Toastmasters Club,Active,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,false,false,false,true,false,,1,0,true,1,25,0,11,false,false,1,1,0,0,1,2,
7,2014-08-07,2014-07-31,2014,91,H,32,7298,Arun Speakers,Active,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,42,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,29,7365,London Athenian Speakers Toastmasters Club,Active,80,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,false,false,false,true,false,,-4,0,true,3,76,0,11,false,false,3,1,1,0,2,5,
7,2014-08-07,2014-07-31,2014,91,L,61,7749,Harrovians Speakers Toastmasters,Active,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-1,0,true,0,21,0,11,false,false,0,1,1,0,2,2,
7,2014-08-07,2014-07-31,2014,91,B,06,7951,London Corinthians Toastmasters,Active,48,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,46,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,33,7989,St Pauls Speakers,Active,32,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.03,true,0,32,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,46,8471,"Reading Speakers Club ",Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,false,true,false,,0,0,true,0,31,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,62,8580,Northavon Speakers Toastmasters Club,Active,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,38,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,31,8923,Women In Banking And Finance Club,Active,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,4,0,true,0,13,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,35,8959,Bromley Speakers,Active,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,49,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,45,9079,Excalibur Speakers,Active,30,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,false,false,false,true,false,,-2,0.04,true,0,28,0,11,false,false,0,2,2,0,4,4,
7,2014-08-07,2014-07-31,2014,91,J,46,9090,Wessex Speakers Club,Active,29,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,false,false,false,true,false,,1,0.03,true,1,30,0,11,false,false,1,0,0,0,0,1,
7,2014-08-07,2014-07-31,2014,91,H,14,9834,Guildford Speaker's Club,Active,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,false,true,false,,1,0,true,1,53,0,11,false,false,1,0,0,0,0,1,
7,2014-08-07,2014-07-31,2014,91,H,37,9934,Kent Speakers Club,Active,11,11,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,,0,0.18,false,0,11,0,11,false,false,0,14,0,0,14,14,
7,2014-08-07,2014-07-31,2014,91,B,29,589261,Trojan Speakers Club,Active,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,false,false,false,true,false,,3,0,true,3,39,0,11,false,false,3,0,0,0,0,3,
7,2014-08-07,2014-07-31,2014,91,K,59,589935,Citi Criers Club,Active,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,28,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,42,595108,Chaseside Speakers Toastmasters Club,Active,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,22,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,35,625647,The Speakers of Croydon Club,Active,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,false,true,false,,1,0,true,1,25,0,11,false,false,1,0,0,0,0,1,
7,2014-08-07,2014-07-31,2014,91,L,47,647094,Northern Lights Speakers Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,25,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,06,674907,London Cardinals Club,Active,58,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,false,true,false,,2,0,true,2,60,0,11,false,false,2,0,0,0,0,2,
7,2014-08-07,2014-07-31,2014,91,H,37,710647,Canterbury Communicators Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,29,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,55,739066,Tunbridge Wells Speakers Club,Active,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,false,0,18,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,21,758236,Windsor Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,48,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,58,760422,MLP London Bridge Speakers,Active,45,45,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.11,true,0,45,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,59,762850,Meridian Speakers Club,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,36,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,31,778270,Canary Wharf Communicators Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,29,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,37,782690,Toasted Sandwich Toastmasters Club,Active,24,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.04,true,0,24,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,45,835375,Early Bird Speakers,Active,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,54,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,35,840230,Croydon Communicators Club,Active,30,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0.04,true,0,28,0,11,false,false,0,2,1,0,3,3,
7,2014-08-07,2014-07-31,2014,91,B,29,885179,West London Speakers Club,Active,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,false,true,false,,2,0,true,2,46,0,11,false,false,2,0,0,0,0,2,
7,2014-08-07,2014-07-31,2014,91,H,14,886002,Woking Speakers Toastmasters Club,Active,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,28,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,56,893055,WIBF Speakers-City Club,Active,29,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-1,0.04,true,0,28,0,11,false,false,0,1,0,0,1,1,
7,2014-08-07,2014-07-31,2014,91,J,62,907029,South West Speakers,Active,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,20,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,55,941371,Eastbourne Speakers Club,Active,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-1,0,true,0,21,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,14,961893,Camberley Speakers,Active,28,30,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,false,false,false,true,false,,2,0.07,true,2,30,0,11,false,false,2,0,0,0,0,2,
7,2014-08-07,2014-07-31,2014,91,J,62,1014712,Voice of Wales,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,21,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,07,1045890,Isis Speakers Club,Active,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,false,false,false,true,false,,0,0,false,0,17,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,04,1053038,Berkhamsted Speakers Club,Active,30,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,false,true,false,,-9,0.05,true,0,21,0,11,false,false,0,1,1,0,2,2,
7,2014-08-07,2014-07-31,2014,91,B,52,1095711,Polish Your Polish,Active,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,20,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,22,1098583,Vodafone Speakers Club,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,false,0,15,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,56,1107650,NZICA Bank Speakers,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,23,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,61,1139794,Watford Speakers,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,33,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,42,1163131,Casterbridge Speakers,Active,25,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,false,false,false,true,false,,0,0.04,true,0,25,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,22,1182918,Cheltenham Speakers,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,false,false,false,true,false,,0,0,true,0,29,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,33,1182993,Cass Toastmasters,Active,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-3,0,true,0,31,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,55,1240705,Battle Speakers Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,25,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,59,1246707,Lewisham Speakers Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,29,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,62,1249064,Armada Speakers,Active,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,28,0,11,false,false,0,7,1,0,8,8,
7,2014-08-07,2014-07-31,2014,91,B,53,1270293,LBM Speakers (staff only),Active,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,false,true,false,,0,0,false,0,11,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,46,1279299,Hamwic Speakers,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,false,false,false,true,false,,0,0,true,0,48,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,32,1321786,County Communicators,Active,22,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.05,true,0,22,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,46,1348895,Toastmasters@Microsoft UK,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,27,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,59,1352811,Speakers Corner,Active,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-8,0,true,0,30,0,11,false,false,0,2,1,0,3,3,
7,2014-08-07,2014-07-31,2014,91,K,58,1376237,1st London Toastmasters,Active,80,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-2,0,true,0,78,0,11,false,false,0,2,1,0,3,3,
7,2014-08-07,2014-07-31,2014,91,L,47,1407974,Angel Speakers,Active,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-3,0,false,0,14,0,11,false,false,0,1,1,0,2,2,
7,2014-08-07,2014-07-31,2014,91,L,33,1414048,ACCAmembers Breakfast Club,Active,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-3,0,false,0,19,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,34,1417626,Bloomsbury Speakers,Active,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-1,0,true,0,40,0,11,false,false,0,1,0,0,1,1,
7,2014-08-07,2014-07-31,2014,91,K,58,1492774,Woodford Green Speakers,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,false,0,16,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,14,1500528,Farnham Speakers Club,Active,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,20,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,32,1503299,Worthing Speaker's Club,Active,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,22,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,45,1519329,Covent Garden Speakers,Active,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,false,true,false,,0,0,true,0,37,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,04,1535757,Swan Speakers,Active,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,false,true,false,,0,0,false,0,9,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,56,1555042,Riverbank Speakers,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,,0,0,false,0,0,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,06,1592500,Phoenix Speakers,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,21,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,35,1638915,Purley Speakers,Active,20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,1,0.05,true,0,21,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,42,1768164,Ferndown Speakers,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,true,false,,0,0,false,0,15,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,56,1811645,London Public Speakers,Active,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,-1,0,true,0,20,0,11,false,false,0,1,1,0,2,2,
7,2014-08-07,2014-07-31,2014,91,H,21,1937571,FM Global Communicators,Active,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,26,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,34,2078451,Society Speakers,Active,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,24,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,31,2130480,State Street London Speakers,Active,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,false,0,8,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,52,2165768,Imperial College Speakers,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,false,0,16,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,62,2205990,Cardiff Toastmasters,Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,31,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,31,2269349,Russian English Speakers,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,21,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,56,2271336,BlackRock Speaks,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,36,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,52,2277701,Kings Speakers,Active,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,false,true,false,,1,0,true,1,33,0,11,false,false,1,0,0,0,0,1,
7,2014-08-07,2014-07-31,2014,91,L,61,2445595,Croxley Communicators,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,23,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,59,2540540,London Trustmasters,Active,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.05,true,0,20,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,14,2673910,Fluor Farnborough Speakers,Active,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,false,false,false,true,false,,-19,0,true,3,27,0,11,false,false,3,0,0,0,0,3,
7,2014-08-07,2014-07-31,2014,91,L,33,2684362,Experience French,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,33,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,H,32,2685904,Spinnaker Speakers,Active,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,false,true,false,,-3,0,true,2,25,0,11,false,false,2,0,0,0,0,2,
