MonthEndDate,AsOfDate,Month,ProgramYear,Region,District,DSP,DECTraining,NewPayments,OctPayments,AprilPayments,LatePayments,CharterPayments,TotalYtdPayments,PaymentBase,PaymentGrowth,PaidClubBase,PaidClubs,ClubGrowth,ActiveClubs,DistinguishedClubs,SelectDistinguishedClubs,PresidentsDistinguishedClubs,TotalDistinguishedClubs,DistinguishedClubsPercentage
2012-07-31,2012-07-31,7,2012,04,19,true,true,32,6,0,3,0,41,3073,-0.9867,89,84,-0.0562,90,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,11,20,true,true,138,24,0,14,0,176,13573,-0.987,256,252,-0.0156,255,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,21,true,true,122,48,0,2,0,172,11549,-0.9851,286,277,-0.0315,286,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,22,true,true,46,3,0,2,0,51,3819,-0.9866,101,87,-0.1386,101,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,23,true,true,53,11,0,2,0,66,3346,-0.9803,96,95,-0.0104,95,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,04,24,true,true,37,2,1,3,0,43,2866,-0.985,78,75,-0.0385,77,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,25,true,true,67,39,1,3,0,110,5914,-0.9814,146,133,-0.089,146,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,26,true,true,93,7,0,16,0,116,6846,-0.9831,169,159,-0.0592,168,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,27,true,true,58,26,0,23,20,127,4208,-0.9698,102,102,0,103,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,28,true,true,76,66,0,27,28,197,4595,-0.9571,120,111,-0.075,121,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,29,true,true,43,5,0,3,0,51,4990,-0.9898,119,119,0,118,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,30,true,true,115,13,0,11,21,160,10056,-0.9841,226,219,-0.031,221,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,31,true,true,135,98,0,34,23,290,7966,-0.9636,173,175,0.0116,174,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,32,true,true,31,0,0,2,0,33,2173,-0.9848,66,65,-0.0152,65,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,33,true,true,100,4,0,6,0,110,6817,-0.9839,189,178,-0.0582,189,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,34,true,true,105,25,0,7,0,137,8063,-0.983,220,183,-0.1682,221,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,35,true,true,38,6,0,4,0,48,3754,-0.9872,105,103,-0.019,105,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,36,true,true,101,29,0,14,41,185,8539,-0.9783,201,193,-0.0398,203,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,37,true,true,111,44,0,33,24,212,8371,-0.9747,194,184,-0.0515,195,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,38,true,true,96,49,0,6,0,151,7171,-0.9789,148,140,-0.0541,147,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,39,true,true,74,1,0,5,0,80,6408,-0.9875,175,162,-0.0743,175,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,40,true,true,82,4,0,4,0,90,7436,-0.9879,194,175,-0.0979,190,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,41,true,true,153,48,0,4,24,229,7008,-0.9673,132,146,0.1061,133,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,04,42,true,true,110,12,0,15,0,137,10078,-0.9864,258,262,0.0155,258,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,43,true,true,57,0,0,5,0,62,3635,-0.9829,88,85,-0.0341,88,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,45,true,true,34,3,0,4,0,41,3995,-0.9897,104,97,-0.0673,104,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,46,true,true,148,75,0,11,0,234,8999,-0.974,167,168,0.006,166,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,47,true,true,47,30,0,13,22,112,7308,-0.9847,162,141,-0.1296,161,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,48,true,true,24,34,0,0,34,92,5258,-0.9825,128,129,0.0078,129,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,49,true,true,40,4,0,5,0,49,2564,-0.9809,66,63,-0.0455,66,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,50,true,true,93,13,0,4,0,110,6617,-0.9834,163,150,-0.0798,161,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,14,51,true,true,120,135,0,2,0,257,11093,-0.9768,253,225,-0.1107,253,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,52,true,true,72,3,0,4,19,98,4133,-0.9763,101,97,-0.0396,100,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,53,true,true,70,4,0,3,0,77,5894,-0.9869,143,132,-0.0769,142,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,54,true,true,36,7,0,4,0,47,3161,-0.9851,79,72,-0.0886,78,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,55,true,true,116,6,0,7,22,151,7868,-0.9808,184,164,-0.1087,184,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,56,true,true,130,17,0,14,0,161,7940,-0.9797,188,174,-0.0745,188,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,57,true,true,121,2,0,2,0,125,6611,-0.9811,152,134,-0.1184,151,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,58,true,true,58,1,0,21,20,100,4506,-0.9778,119,116,-0.0252,120,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,11,59,true,true,179,61,0,24,20,284,13677,-0.9792,239,247,0.0335,240,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,60,true,true,122,90,0,13,38,263,10020,-0.9738,199,195,-0.0201,199,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,61,true,true,50,9,1,5,0,65,8374,-0.9922,201,204,0.0149,201,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,62,true,true,28,1,0,8,20,57,3318,-0.9828,84,79,-0.0595,86,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,63,true,true,48,34,0,10,0,92,3909,-0.9765,92,81,-0.1196,93,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,04,64,true,true,21,2,0,1,0,24,3457,-0.9931,106,99,-0.066,105,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,65,true,true,44,12,2,2,0,60,4007,-0.985,106,97,-0.0849,106,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,66,true,true,61,7,0,10,0,78,4486,-0.9826,115,113,-0.0174,113,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,67,true,true,46,24,0,4,0,74,5915,-0.9875,140,137,-0.0214,141,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,68,true,true,32,18,0,1,0,51,2066,-0.9753,60,44,-0.2667,60,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,12,69,true,true,96,10,0,13,25,144,7458,-0.9807,190,181,-0.0474,189,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,12,70,true,true,225,39,0,19,0,283,12501,-0.9774,289,285,-0.0138,289,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,11,71,true,true,142,13,0,18,42,215,14614,-0.9853,257,266,0.035,258,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,12,72,true,true,194,21,0,23,0,238,10089,-0.9764,250,249,-0.004,250,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,12,73,true,true,99,9,0,9,0,117,5469,-0.9786,124,124,0,124,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,11,74,true,true,88,46,0,17,0,151,5879,-0.9743,142,132,-0.0704,142,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,14,75,true,true,57,2,0,5,0,64,5558,-0.9885,158,122,-0.2278,160,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,76,true,true,113,5,0,0,0,118,6714,-0.9824,127,138,0.0866,127,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,77,true,true,41,25,0,5,0,71,2857,-0.9751,81,78,-0.037,81,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,04,78,true,true,35,1,0,3,0,39,3573,-0.9891,107,97,-0.0935,106,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,11,79,true,true,51,96,0,15,20,182,8373,-0.9783,166,131,-0.2108,167,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,14,80,true,true,127,107,0,15,0,249,10128,-0.9754,194,187,-0.0361,193,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,81,true,true,37,6,0,30,20,93,5205,-0.9821,108,112,0.037,109,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,82,true,true,209,101,0,42,43,395,11576,-0.9659,202,212,0.0495,206,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,09,83,true,true,86,79,0,9,84,258,7749,-0.9667,152,145,-0.0461,154,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,84,true,true,107,4,0,12,48,171,7672,-0.9777,179,168,-0.0615,181,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,85,true,true,43,21,0,7,20,91,6756,-0.9865,126,140,0.1111,127,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,86,true,true,74,13,0,14,46,147,9357,-0.9843,193,203,0.0518,193,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,14,87,true,true,99,10,0,6,0,115,6003,-0.9808,142,108,-0.2394,142,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,13,89,true,true,9,1,0,0,0,10,6113,-0.9984,110,115,0.0455,110,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,F,false,false,157,4,0,7,0,168,8887,-0.9811,212,202,-0.0472,209,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,DNAR,U,false,false,141,6,0,33,67,247,10760,-0.977,204,205,0.0049,211,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,01,true,true,207,6,0,6,0,219,6527,-0.9664,144,131,-0.0903,143,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,02,true,true,241,10,0,9,19,279,7661,-0.9636,187,175,-0.0642,188,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,03,true,true,287,23,0,8,64,382,9167,-0.9583,208,197,-0.0529,206,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,04,true,true,411,96,0,22,98,627,11141,-0.9437,241,243,0.0083,243,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,05,true,true,219,32,0,13,20,284,6442,-0.9559,145,143,-0.0138,146,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,06,true,true,249,51,0,18,47,365,10573,-0.9655,280,275,-0.0179,281,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,07,true,true,167,12,0,4,0,183,6357,-0.9712,171,170,-0.0058,171,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,08,true,true,156,4,0,7,20,187,4470,-0.9582,113,99,-0.1239,114,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,09,true,true,41,2,0,2,21,66,2086,-0.9684,63,62,-0.0159,64,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,10,true,true,140,39,0,21,0,200,4088,-0.9511,105,95,-0.0952,105,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,11,true,true,119,66,0,25,42,252,5175,-0.9513,149,140,-0.0604,151,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,12,true,true,124,11,0,4,0,139,4249,-0.9673,128,110,-0.1406,128,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,13,true,true,70,7,0,12,0,89,2863,-0.9689,74,71,-0.0405,73,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,14,true,true,440,116,6,41,24,627,13067,-0.952,310,281,-0.0935,311,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,15,true,true,88,1,0,9,20,118,3096,-0.9619,85,79,-0.0706,85,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,16,true,true,71,5,0,8,43,127,3079,-0.9588,84,81,-0.0357,86,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,12,17,true,true,122,26,0,5,0,153,2512,-0.9391,63,66,0.0476,63,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,18,true,true,152,23,0,15,21,211,4411,-0.9522,108,103,-0.0463,109,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,19,true,true,68,10,0,4,20,102,3073,-0.9668,89,84,-0.0562,91,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,11,20,true,true,296,47,0,37,20,400,13573,-0.9705,256,252,-0.0156,256,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,21,true,true,234,63,0,3,0,300,11549,-0.974,286,277,-0.0315,286,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,22,true,true,93,8,0,5,0,106,3819,-0.9722,101,87,-0.1386,101,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,23,true,true,83,12,0,4,0,99,3346,-0.9704,96,95,-0.0104,95,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,24,true,true,75,5,1,4,0,85,2866,-0.9703,78,75,-0.0385,77,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,25,true,true,173,63,2,9,0,247,5914,-0.9582,146,133,-0.089,146,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,26,true,true,177,16,0,31,0,224,6846,-0.9673,169,159,-0.0592,168,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,27,true,true,137,57,3,30,41,268,4208,-0.9363,102,102,0,104,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,28,true,true,141,77,0,32,28,278,4595,-0.9395,120,111,-0.075,121,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,29,true,true,132,39,0,8,24,203,4990,-0.9593,119,119,0,119,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,30,true,true,270,32,0,20,131,453,10056,-0.955,226,219,-0.031,225,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,31,true,true,252,146,0,42,96,536,7966,-0.9327,173,175,0.0116,177,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,01,32,true,true,65,1,0,3,0,69,2173,-0.9682,66,65,-0.0152,65,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,33,true,true,196,10,0,9,0,215,6817,-0.9685,189,178,-0.0582,189,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,34,true,true,264,37,0,22,0,323,8063,-0.9599,220,183,-0.1682,221,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,35,true,true,79,7,0,6,0,92,3754,-0.9755,105,103,-0.019,105,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,36,true,true,211,37,1,17,67,333,8539,-0.961,201,193,-0.0398,204,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,37,true,true,272,79,0,43,24,418,8371,-0.9501,194,184,-0.0515,195,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,38,true,true,180,61,0,12,0,253,7171,-0.9647,148,140,-0.0541,147,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,39,true,true,165,8,0,7,0,180,6408,-0.9719,175,162,-0.0743,175,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,40,true,true,214,48,0,5,49,316,7436,-0.9575,194,175,-0.0979,192,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,41,true,true,511,108,0,10,138,767,7008,-0.8906,132,146,0.1061,137,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,42,true,true,178,18,0,19,0,215,10078,-0.9787,258,262,0.0155,258,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,43,true,true,111,2,0,15,0,128,3635,-0.9648,88,85,-0.0341,88,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,45,true,true,67,7,0,6,0,80,3995,-0.98,104,97,-0.0673,104,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,46,true,true,288,93,0,16,20,417,8999,-0.9537,167,168,0.006,168,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,47,true,true,237,41,0,20,42,340,7308,-0.9535,162,141,-0.1296,162,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,48,true,true,173,47,0,0,54,274,5258,-0.9479,128,129,0.0078,130,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,49,true,true,84,15,0,5,0,104,2564,-0.9594,66,63,-0.0455,66,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,50,true,true,216,28,1,6,0,251,6617,-0.9621,163,150,-0.0798,161,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,14,51,true,true,217,153,0,7,20,397,11093,-0.9642,253,225,-0.1107,254,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,52,true,true,120,35,0,5,43,203,4133,-0.9509,101,97,-0.0396,101,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,53,true,true,173,11,0,5,0,189,5894,-0.9679,143,132,-0.0769,142,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,54,true,true,87,9,0,6,0,102,3161,-0.9677,79,72,-0.0886,78,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,55,true,true,241,7,0,11,22,281,7868,-0.9643,184,164,-0.1087,184,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,03,56,true,true,287,43,2,22,0,354,7940,-0.9554,188,174,-0.0745,188,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,02,57,true,true,250,7,0,7,0,264,6611,-0.9601,152,134,-0.1184,151,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,58,true,true,100,14,0,24,20,158,4506,-0.9649,119,116,-0.0252,120,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,11,59,true,true,320,84,0,31,60,495,13677,-0.9638,239,247,0.0335,241,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,60,true,true,245,127,0,17,83,472,10020,-0.9529,199,195,-0.0201,202,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,61,true,true,115,13,1,7,0,136,8374,-0.9838,201,204,0.0149,201,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,62,true,true,90,12,0,10,20,132,3318,-0.9602,84,79,-0.0595,86,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,05,63,true,true,121,37,0,11,0,169,3909,-0.9568,92,81,-0.1196,93,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,64,true,true,34,3,0,1,0,38,3457,-0.989,106,99,-0.066,105,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,65,true,true,85,15,2,3,0,105,4007,-0.9738,106,97,-0.0849,106,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,07,66,true,true,123,10,0,23,23,179,4486,-0.9601,115,113,-0.0174,114,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,67,true,true,105,31,0,5,0,141,5915,-0.9762,140,137,-0.0214,141,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,68,true,true,47,20,0,1,0,68,2066,-0.9671,60,44,-0.2667,60,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,12,69,true,true,211,25,0,13,45,294,7458,-0.9606,190,181,-0.0474,190,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,12,70,true,true,443,74,0,27,0,544,12501,-0.9565,289,285,-0.0138,289,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,11,71,true,true,280,61,0,21,42,404,14614,-0.9724,257,266,0.035,258,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,12,72,true,true,378,33,0,25,43,479,10089,-0.9525,250,249,-0.004,252,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,12,73,true,true,213,23,0,14,0,250,5469,-0.9543,124,124,0,124,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,11,74,true,true,172,96,0,21,52,341,5879,-0.942,142,132,-0.0704,144,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,14,75,true,true,119,5,0,7,20,151,5558,-0.9728,158,122,-0.2278,161,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,76,true,true,200,16,0,3,0,219,6714,-0.9674,127,138,0.0866,127,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,77,true,true,91,29,0,15,0,135,2857,-0.9527,81,78,-0.037,81,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,04,78,true,true,66,2,0,4,0,72,3573,-0.9798,107,97,-0.0935,106,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,11,79,true,true,124,111,0,18,40,293,8373,-0.965,166,131,-0.2108,168,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,14,80,true,true,321,152,0,18,0,491,10128,-0.9515,194,187,-0.0361,193,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,81,true,true,80,15,0,36,20,151,5205,-0.971,108,112,0.037,109,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,82,true,true,403,196,0,69,63,731,11576,-0.9369,202,212,0.0495,209,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,09,83,true,true,201,100,0,13,84,398,7749,-0.9486,152,145,-0.0461,154,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,08,84,true,true,256,11,0,17,48,332,7672,-0.9567,179,168,-0.0615,181,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,85,true,true,229,61,0,9,42,341,6756,-0.9495,126,140,0.1111,128,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,06,86,true,true,155,21,0,16,64,256,9357,-0.9726,193,203,0.0518,194,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,14,87,true,true,170,17,0,8,0,195,6003,-0.9675,142,108,-0.2394,142,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,13,89,true,true,191,34,0,0,0,225,6113,-0.9632,110,115,0.0455,110,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,10,F,false,false,308,16,0,17,30,371,8887,-0.9583,212,202,-0.0472,210,0,0,0,0,0
2012-08-31,2012-09-04,8,2012,DNAR,U,false,false,277,25,0,41,134,477,10760,-0.9557,204,205,0.0049,214,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,10,01,true,true,333,1585,1,15,58,1992,6527,-0.6948,144,131,-0.0903,145,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,01,02,true,true,367,1920,0,23,19,2329,7661,-0.696,187,175,-0.0642,188,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,10,03,true,true,475,2428,3,19,107,3032,9167,-0.6692,208,197,-0.0529,207,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,02,04,true,true,702,3105,0,43,226,4076,11141,-0.6341,241,243,0.0083,249,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,10,05,true,true,330,1635,0,17,66,2048,6442,-0.6821,145,143,-0.0138,148,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,04,06,true,true,392,2938,1,31,79,3441,10573,-0.6745,280,275,-0.0179,282,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,02,07,true,true,290,1621,0,19,20,1950,6357,-0.6933,171,170,-0.0058,172,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,05,08,true,true,238,945,1,14,20,1218,4470,-0.7275,113,99,-0.1239,114,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,01,09,true,true,74,541,1,2,21,639,2086,-0.6937,63,62,-0.0159,64,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,06,10,true,true,202,942,0,22,0,1166,4088,-0.7148,105,95,-0.0952,105,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,05,11,true,true,212,1205,0,29,42,1488,5175,-0.7125,149,140,-0.0604,151,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,10,12,true,true,209,992,0,10,0,1211,4249,-0.715,128,110,-0.1406,128,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,07,13,true,true,133,712,0,15,21,881,2863,-0.6923,74,71,-0.0405,74,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,08,14,true,true,750,2591,15,66,68,3490,13067,-0.7329,310,281,-0.0935,312,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,01,15,true,true,145,638,2,14,20,819,3096,-0.7355,85,79,-0.0706,85,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,03,16,true,true,119,669,0,13,43,844,3079,-0.7259,84,81,-0.0357,86,0,0,0,0,0
2012-09-30,2012-10-10,9,2012,12,17,true,true,210,665,0,7,0,882,2512,-0.6489,63,66,0.0476,63,0,0,0,0,0
